ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
First Floor Pavilion 5A,25 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,175,12,A,12.34,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"5,250.00",5.25,0.01
15 DAVA STREET,,GLASGOW,G51 2JA,Office/Workshop,Offices and Workshop businesses,403,11,A,11.19,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"12,090.00",12.09,0.01
Ground Floor Pavilion 5A,25 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,177,13,A,13.13,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"5,310.00",5.31,0.01
21 DAVA STREET,,GLASGOW,G51 2JA,Storage/Distribution,Storage or Distribution,3197,43,C,43.39,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"95,910.00",95.91,0.1
Moorpark Court,5 Dava Street,Glasgow,G51 2JA,Office/Workshop,Offices and Workshop businesses,415,48,D+,48,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"41,500.00",41.5,0.04
3 DAVA STREET,,GLASGOW,G51 2JA,Office/Workshop,Offices and Workshop businesses,174,46,D+,46,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"17,400.00",17.4,0.02
17 DAVA STREET,,GLASGOW,G51 2JA,Office/Workshop,Offices and Workshop businesses,403,15,A,15.31,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"12,090.00",12.09,0.01
9 DAVA STREET,,GLASGOW,G51 2JA,Office/Workshop,Offices and Workshop businesses,475,42,C,42.19,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"57,000.00",57,0.06
191 Broomloan Road,Ibrox,Glasgow,G51 2JE,Office/Workshop,Offices and Workshop businesses,494,40,C,39.62,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"59,280.00",59.28,0.06
UNIT C,191 BROOMLOAN ROAD,GLASGOW,G51 2JE,Office/Workshop,Offices and Workshop businesses,195,22,B+,21.81,None,Grid supplied,Other,Unconditioned,,"10,725.00",10.73,0.01
Unit 4 Davieland Court,22 Broomloan Place,Glasgow,G51 2JR,General Industrial,General Industrial and Special Industrial Groups,301,88,F+,87.65,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"36,120.00",36.12,0.04
Unit 2&3 Wellfield Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,908,39,C,39.26,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"27,240.00",27.24,0.03
Unit 1 Davieland Court,Ibrox Business Park,Glasgow,G51 2JR,General Industrial,General Industrial and Special Industrial Groups,348,34,C+,33.57,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"29,580.00",29.58,0.03
Unit 3  Invergyle Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,338,71,E,71.35,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"10,140.00",10.14,0.01
1 BROOMLOAN PLACE,,GLASGOW,G51 2JR,Office/Workshop,Offices and Workshop businesses,489,65,E+,64.9,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"58,680.00",58.68,0.06
Unit 2 Norwood Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,530,58,D,58,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"15,900.00",15.9,0.02
Unit 4,Invergyle Court,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,498,55,D,54.55,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"14,940.00",14.94,0.01
Unit 2 Roseberry Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,449,69,E+,69.46,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"13,470.00",13.47,0.01
Unit 1 Norwood Court,Ibrox Business Park,Glasgow,G51 2JR,Storage/Distribution,Storage or Distribution,425,69,E+,68.6,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"12,750.00",12.75,0.01
Unit 2 Davieland Court,Ibrox Business Park,Glasgow,G51 2JR,General Industrial,General Industrial and Special Industrial Groups,197,53,D,52.71,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"19,700.00",19.7,0.02
