EXISTING,PROPOSED,CURRENT POLLING,PROPOSED,,,,,
POLLING,NEW,PLACE,CHANGE TO,,,,,
DISTRICT,POLLING,,POLLING,,,,,
,DISTRICT,,PLACE,,,,,
,NAME,,,,,,,
AN3012,ANWE1201,JORDANHILL PARISH,No change,,,,,
,,CHURCH HALL,,,,,,
,,,,,,,,
AN3112,ANWE1202,ST THOMAS AQUINAS,No change,,,,,
,,SEC SCHOOL,,,,,,
,,,,,,,,
AN3212,ANWE1203,WHITEINCH,No change,,,,,
,,COMMUNITY CENTRE,,,,,,
,,,,,,,,
AN3312,ANWE1204,BROOMHILL,No change,,,,,
,,COMMUNITY,,,,,,
,,CHURCH OF THE,,,,,,
,,NAZARENE,,,,,,
AN3412,ANWE1205,BROOMHILL,No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
AN3512,ANWE1206,RITE HOME LETTING,No change,,,,,
,,AGENCY,,,,,,
KE2412,ANWE1207,THORNWOOD,No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
EXISTING,PROPOSED,CURRENT POLLING,PROPOSED,,,,,
POLLING,NEW,PLACE,CHANGE TO,,,,,
DISTRICT,POLLING,,POLLING,,,,,
,DISTRICT,,PLACE,,,,,
,NAME,,,,,,,
AN1613,ANWE1301,ST NINIAN'S PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
,,,,,,,,
AN1713,ANWE1302,KNIGHTSWOOD,No change,,,,,
,,BAPTIST CHURCH,,,,,,
,,,,,,,,
AN1813,ANWE1303,ST DAVID'S CHURCH,No change,,,,,
,,HALL,,,,,,
AN1913,ANWE1304,ST BRENDANS RC,No change,,,,,
,,CHURCH HALL,,,,,,
,,,,,,,,
AN2013,ANWE1305,BANKHEAD PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
AN2113,ANWE1306,CORPUS CHRISTI,No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
AN2213,ANWD1301,CLYDE CAMPUS,No change,,,,,
,,,,,,,,
AN2313,ANWE1307,YOKER RESOURCE,No change,,,,,
,,CENTRE,,,,,,
AN2413,ANWE1308,BANKHEAD PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
AN2513,ANWE1309,HEART OF,No change,,,,,
