OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
,Unit 6A,1-2 Woodside Place,Glasgow,G3 7QF,85.94,Grid supplied,Natural Gas,294,00QS,00QSMK,17.34
,Ground Floor 1 Woodside Place,,Glasgow,G3 7QF,40.2,Grid supplied,Natural Gas,136,00QS,00QSMK,13.23
,2nd Floor Offices,2 Woodside Place,Glasgow,G3 7QF,42.57,Grid supplied,Natural Gas,221,00QS,00QSMK,4.2
9.067E+11,4 WOODSIDE PLACE,,GLASGOW,G3 7QF,28.92,Grid supplied,Natural Gas,159,00QS,00QSMK,4.37
,3 Woodside Place,,Glasgow,G3 7QF,30.28,Grid supplied,Natural Gas,163,00QS,00QSMK,4.94
,Woodside Place,20-23,Glasgow,G3 7QF,54.85,Grid supplied,Natural Gas,154,00QS,00QSMK,14.01
,Regus Group Limited,20-23 Woodside Place,Glasgow,G3 7QL,52.4,Grid supplied,Natural Gas,188,00QS,00QSMK,13.37
,19 Woodside Place,,Glasgow,G3 7QL,111.74,Grid supplied,Natural Gas,250,00QS,00QSMK,14.82
9.067E+11,4 Fitzroy Place,,Glasgow,G3 7RH,61.76,Grid supplied,Natural Gas,198,00QS,00QSMK,17.51
9.067E+11,10 FITZROY PLACE,,GLASGOW,G3 7RW,38.31,Grid supplied,Natural Gas,205,00QS,00QSMK,3.94
,36 Kelvingrove Street,,Glasgow,G3 7RZ,215.42,Grid supplied,Natural Gas,601,00QS,00QSMK,83.47
9.067E+11,1 Parkgrove Terrace,,Glasgow,G3 7SD,31.63,Grid supplied,Natural Gas,100,00QS,00QSMK,11.06
9.067E+11,46 GRAY STREET,,GLASGOW,G3 7SE,97.44,Grid supplied,Natural Gas,476,00QS,00QSMK,52.15
9.067E+11,12 ROYAL CRESCENT,,GLASGOW,G3 7SL,61,Grid supplied,Natural Gas,184,00QS,00QSMK,18.17
,Storey Basement,15 Royal Crescent,Glasgow,G3 7SL,32.48,Grid supplied,Natural Gas,170,00QS,00QSMK,3.82
9.067E+11,9 ROYAL CRESCENT,,GLASGOW,G3 7SL,27.94,Grid supplied,Natural Gas,148,00QS,00QSMK,4.5
9.067E+11,THE TOWN HOUSE HOTEL,21 ROYAL CRESCENT,GLASGOW,G3 7SL,176.82,Grid supplied,Natural Gas,680,00QS,00QSMK,103.54
,2nd Floor,7 Royal Crescent,Glasgow,G3 7SL,68.22,Grid supplied,Natural Gas,272,00QS,00QSMK,17.55
9.067E+11,SANDYFORD HOTEL,,GLASGOW,G3 7TF,127.32,Grid supplied,Natural Gas,401,00QS,00QSMK,86.55
9.067E+11,916 SAUCHIEHALL STREET,,GLASGOW,G3 7TF,131.61,Grid supplied,Natural Gas,307,00QS,00QSMK,99.38
9.067E+11,The Lorne Hotel,923 Sauchiehall Street,Glasgow,G3 7TQ,90.31,Grid supplied,Natural Gas,277,00QS,00QSMK,60
9.067E+11,Devoncote Hotel,931 Sauchiehall Street,Glasgow,G3 7TQ,118.76,Grid supplied,Natural Gas,454,00QS,00QSMK,74.57
9.067E+11,9 RADNOR STREET,,GLASGOW,G3 7UA,100.66,Grid supplied,Natural Gas,288,00QS,00QSMK,75.19
9.067E+11,19 Woodside Crescent,,Glasgow,G3 7UL,63.07,Grid supplied,Natural Gas,159,00QS,00QSMK,17.05
9.067E+11,15 Woodside Crescent,,Glasgow,G3 7UL,65.07,Grid supplied,Natural Gas,225,00QS,00QSMK,15.39
9.067E+11,2 WOODSIDE CRESCENT,,GLASGOW,G3 7UL,90.36,Grid supplied,Natural Gas,442,00QS,00QSMK,17.32
,The Mews Building,19 Woodside Crescent,Glasgow,G3 7UL,99.34,Grid supplied,Natural Gas,386,00QS,00QSMK,30.03
9.06701E+11,STOREY 3/1 FOUNTAIN HOUSE,3 WOODSIDE CRESCENT,GLASGOW,G3 7UL,45.76,Grid supplied,Natural Gas,102,00QS,00QSMK,22.59
,6 Claremont Terrace,,Glasgow,G3 7XR,75.98,Grid supplied,Natural Gas,224,00QS,00QSMK,16.78
,Ground Floor,3 Park Gardens,Glasgow,G3 7YE,26.01,Grid supplied,Natural Gas,144,00QS,00QSMK,2.43
,2nd Floor,3 Park Gardens,Glasgow,G3 7YE,44.4,Grid supplied,Natural Gas,224,00QS,00QSMK,4.56
,4 Claremont Place,,Glasgow,G3 7YR,55.67,Grid supplied,Natural Gas,215,00QS,00QSMK,13.36
9.067E+11,1274 ARGYLE STREET,,GLASGOW,G3 8AA,42.65,Grid supplied,Natural Gas,135,00QS,00QSMK,17.16
9.067E+11,1340 Argyle Street,,Glasgow,G3 8AB,60.08,Grid supplied,Natural Gas,160,00QS,00QSMK,21.42
9.067E+11,1347 ARGYLE STREET,,GLASGOW,G3 8AD,133.96,Grid supplied,Natural Gas,423,00QS,00QSMK,61.5
9.067E+11,KELVINGROVE ART GALLERY,1,GLASGOW,G3 8AG,56.23,Grid supplied,Natural Gas,146,00QS,00QSMK,28.87
9.067E+11,1397 ARGYLE STREET,,GLASGOW,G3 8AN,160.73,Grid supplied,Natural Gas,507,00QS,00QSMK,71.34
,130 Finnieston Street,,Glasgow,G3 8AS,60.33,Grid supplied,Natural Gas,247,00QS,00QSMK,64.15
,Pavilion 1 Finnieston Business Park,Minerva Way,Glasgow,G3 8AU,21.46,Grid supplied,Natural Gas,111,00QS,00QSMK,3.63
,Pavilion 3 Finnieston Business Park,Minerva Way,Glasgow,G3 8AU,20.06,Grid supplied,Natural Gas,106,00QS,00QSMK,3.96
9.067E+11,11 MINERVA WAY,,GLASGOW,G3 8AU,194.79,Grid supplied,Natural Gas,819,00QS,00QSMK,154.97
,Ground Floor Pavilion 3,Finnieston Business Park,Glasgow,G3 8AU,57.23,Grid supplied,Natural Gas,140,00QS,00QSMK,16.84
,Pavilion 2 Finnieston Business Park,Minerva Way,Glasgow,G3 8AU,19.27,Grid supplied,Natural Gas,102,00QS,00QSMK,3.89
9.067E+11,KELVIN HALL SPORTS ARENA,1431 ARGYLE STREET,GLASGOW,G3 8AW,46.38,Grid supplied,Natural Gas,171,00QS,00QSMK,27.72
9.067E+11,MENZIES GLASGOW HOTEL,27 WASHINGTON STREET,GLASGOW,G3 8AZ,96.51,Grid supplied,Natural Gas,495,00QS,00QSMK,65.29
9.067E+11,PENTAGON BUSINESS CENTRE,36 WASHINGTON STREET,GLASGOW,G3 8AZ,73.06,Grid supplied,Natural Gas,148,00QS,00QSMK,17.98
,88-96 Hydepark Street,,Glasgow,G3 8BW,45.02,Grid supplied,Natural Gas,100,00QS,00QSMK,18.95
,Suite 0/1,89 Hydepark Street,Glasgow,G3 8BW,46.79,Grid supplied,Natural Gas,117,00QS,00QSMK,21.09
9.067E+11,SUITE 1/1,89 HYDEPARK STREET,GLASGOW,G3 8BW,44.7,Grid supplied,Natural Gas,108,00QS,00QSMK,20.82
,Unit 4,118-134 Hydepark Street,Glasgow,G3 8BW,115.04,Grid supplied,Natural Gas,361,00QS,00QSMK,34.71
,62 Hyde Park Street,,Glasgow,G3 8BW,48.2,Grid supplied,Natural Gas,118,00QS,00QSMK,18.87
,Unit 3,118-134 Hydepark Street,Glasgow,G3 8BW,115.04,Grid supplied,Natural Gas,361,00QS,00QSMK,34.71
,Unit 1,118-134 Hydepark Street,Glasgow,G3 8BW,97.65,Grid supplied,Natural Gas,312,00QS,00QSMK,33.56
,Unit 5,118-134 Hydepark Street,Glasgow,G3 8BW,143.29,Grid supplied,Natural Gas,551,00QS,00QSMK,55.56
,138 Hydepark Street,,Glasgow,G3 8BW,30.79,Grid supplied,Natural Gas,175,00QS,00QSMK,4.34
